FOODID	FOODNAME
1	SOKERI
2	FRUKTOOSI, HEDELMÄSOKERI
3	SIIRAPPI
4	HUNAJA
5	MAKEINEN, KARAMELLI
6	SUKLAA, KESKIARVO, MAITO-, TUMMA-, VALKO-
7	SUKLAAKONVEHTI, MARMELADITÄYTE
8	LAKRITSI
9	MAKEINEN, MARMELADIMAKEINEN
10	MARSIPAANI, MANTELIMASSA
11	MAKEINEN, TOFFEE
12	MAKEINEN, SALMIAKKIPASTILLI
14	SUKLAAPATUKKA SUKLAINEN, KESKIARVO
20	KAAKAOJAUHE, EI LISÄTTYÄ SOKERIA
21	KAAKAOJAUHE, SOKEROITU
24	SORBITOLI
25	LIIVATE
26	HIIVA, TUORE
27	JAUHO, MAISSITÄRKKELYS
28	SINAPPI
29	LIHALIEMI, LAIMENNETTU
30	RUOKASUOLA, JODIOITU
31	MAUSTEKASTIKE, SOIJAKASTIKE
32	SUKLAA, TUMMA
33	SUKLAA, MAITOSUKLAA
34	HALVA SEESAMSIEMENVALMISTE
35	MAKEINEN, SOKERITON
36	MINERAALISUOLA, KESKIARVO
37	SUKLAA, SOKERITON, KEINOTEKOISESTI MAKEUTETTU
38	LIHALIEMIJAUHE/TIIVISTE
39	MAKEUTUSAINE, ASPARTAAMI, JAUHE
40	VÄLIPALAPATUKKA, KUITUINEN
43	RUISMALLAS
44	SUKLAAPATUKKA TÄYTESUKLAA, KESKIARVO
62	KSYLITOLIPASTILLI
63	SUKLAAPATUKKA VÄHÄRASVAINEN
65	KSYLITOLIPURUKUMI
66	PURUKUMI
68	OHRATÄRKKELYS
69	HEDELMÄPASTILLI, ARABIKUMIPASTILLI
70	MAKEUTUSAINE, HERMESETAS, SAKARIINI
73	JOGURTTIRUSINA/JOGURTTIHEDELMÄ, KUORRUTETTU KUIVATTU HEDELMÄ
74	LEIVINJAUHE
75	KALALIEMI, LAIMENNETTU
79	RUOKASUOLA, JODIOIMATON, VUORISUOLA
100	JAUHO, RUISJAUHO, TÄYSJYVÄJAUHO
103	RUISHIUTALE
110	JAUHO, VEHNÄJAUHO, PUOLIKARKEA
111	JAUHO, GRAHAMJAUHO
112	MANNASUURIMO
113	MANNASUURIMO, TUMMA
114	VEHNÄHIUTALE
115	VEHNÄNALKIO
116	LESE, VEHNÄLESE
117	MAKARONI, PASTA
119	MAKARONI, TUMMA
120	NUUDELI, VEHNÄNUUDELI
121	PASTA, SPAGETTI, MAKARONI
123	MAKARONI, TUMMA, KEITETTY, SUOLATON
124	JAUHO, HIIVALEIPÄVEHNÄJAUHO
125	JAUHO, JAUHOSEOS, SÄMPYLÄJAUHO, VEHNÄJAUHO, RUISJAUHO, VEHNÄROUHE
126	JAUHO, KORPPUJAUHO
133	VOHVELIKUORI, JÄÄTELÖVOHVELI
142	JAUHO, VEHNÄJAUHO, LEIPOMOTEOLLISUUS, VASTAJAUHETTU
150	JAUHO, OHRAJAUHO
151	OHRASUURIMO
152	OHRAHIUTALE
153	KAURAHIUTALE
154	JAUHO, JAUHOSEOS, TALKKUNAJAUHO, SISÄLTÄÄ OHRAA
156	RIISI PUUROUTUVA
158	TÄYSJYVÄRIISI
160	JAUHO, HIRSSISUURIMO TAI -JAUHO
161	JAUHO, TATTARISUURIMO TAI -JAUHO
162	JAUHO, PERUNAJAUHO TAI -SUURIMO, PERUNATÄRKKELYS
163	MURO, MAISSIHIUTALE, CORN FLAKES
167	MAISSI, JYVÄ, KUIVATTU
168	KALJA- / MÄMMIMALLAS
170	LESE, KAURALESE
172	PASTA, PINAATTISPAGETTI, SISÄLTÄÄ KANANMUNAA
173	KAURAMAKARONI, SISÄLTÄÄ VEHNÄÄ JA KAURAA
175	ROUHE, VEHNÄROUHE KOKOJYVÄSTÄ
176	ROUHE, RUISROUHE
177	RIISI, LUONNONRIISI RIISI-VILLIRIISISEOS, KEITETTY, SUOLATON
182	JAUHO, RIISIJAUHO, RIISIHIUTALE
183	JAUHO, TÄYSJYVÄRIISIJAUHO
184	MAISSILASTU, TACOKUORI
185	JAUHO, JAUHOSEOS, GLUTEENITON, VEHNÄTÄRKKELYSTÄ
